code,description,unit_of_quantity,section_name,chapter_name,import_policy,export_policy,policy_condition
03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,Animal Products,Fish and crustaceans,,,
0306,"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted",,Animal Products,Fish and crustaceans,Free,Free,
030617,"Other shrimps and prawns, frozen",KGS,Animal Products,Fish and crustaceans,Free,Free,
03061700,"Frozen shrimps and prawns, other",KGS,Animal Products,Fish and crustaceans,Free,Free,
07,"Edible vegetables and certain roots and tubers",,Vegetable Products,Edible vegetables,,,
0713,"Dried leguminous vegetables, shelled, whether or not skinned or split",,Vegetable Products,Edible vegetables,Free,Free,
071340,"Lentils, dried, shelled",KGS,Vegetable Products,Edible vegetables,Free,Free,
07134000,"Lentils (masoor), dried",KGS,Vegetable Products,Edible vegetables,Free,Free,
08,"Edible fruit and nuts; peel of citrus fruit or melons",,Vegetable Products,Edible fruit and nuts,,,
0802,"Other nuts, fresh or dried, whether or not shelled or peeled",,Vegetable Products,Edible fruit and nuts,Free,Free,
080211,"Almonds in shell, fresh or dried",KGS,Vegetable Products,Edible fruit and nuts,Free,Free,
08021100,"Almonds, in shell",KGS,Vegetable Products,Edible fruit and nuts,Free,Free,
09,"Coffee, tea, mate and spices",,Vegetable Products,"Coffee, tea, mate and spices",,,
0901,"Coffee, whether or not roasted or decaffeinated; coffee husks and skins",,Vegetable Products,"Coffee, tea, mate and spices",Free,Free,
090121,"Coffee, roasted, not decaffeinated",KGS,Vegetable Products,"Coffee, tea, mate and spices",Free,Free,
09012111,"Coffee, roasted, not decaffeinated, arabica",KGS,Vegetable Products,"Coffee, tea, mate and spices",Free,Free,
0902,"Tea, whether or not flavoured",,Vegetable Products,"Coffee, tea, mate and spices",Free,Free,
090210,"Green tea (not fermented) in immediate packings <= 3 kg",KGS,Vegetable Products,"Coffee, tea, mate and spices",Free,Free,
09021010,"Green tea in packets, content <= 25 g",KGS,Vegetable Products,"Coffee, tea, mate and spices",Free,Free,
0904,"Pepper of the genus Piper; dried/crushed/ground fruits of Capsicum or Pimenta",,Vegetable Products,"Coffee, tea, mate and spices",Free,Free,
090411,"Pepper, neither crushed nor ground",KGS,Vegetable Products,"Coffee, tea, mate and spices",Free,Free,
09041120,"Black pepper, garbled",KGS,Vegetable Products,"Coffee, tea, mate and spices",Free,Free,
