code,description,unit_of_quantity,section_name,chapter_name,import_policy,export_policy,policy_condition
09,"Coffee, tea, mate and spices",,Vegetable Products,"Coffee, tea, mate and spices",,,
0910,"Ginger, saffron, turmeric (curcuma), thyme, bay leaves, curry and other spices",,Vegetable Products,"Coffee, tea, mate and spices",Free,Free,
091030,"Turmeric (curcuma)",KGS,Vegetable Products,"Coffee, tea, mate and spices",Free,Free,
09103010,"Turmeric (curcuma) powder, fresh or dried",KGS,Vegetable Products,"Coffee, tea, mate and spices",Free,Free,
10,"Cereals",,Vegetable Products,Cereals,,,
1006,"Rice",,Vegetable Products,Cereals,Free,Free,
100630,"Semi-milled or wholly milled rice, whether or not polished or glazed",KGS,Vegetable Products,Cereals,Free,Free,
10063020,"Basmati rice, semi-milled or wholly milled",KGS,Vegetable Products,Cereals,Free,Free,Registration-cum-Allocation Certificate may apply
22,"Beverages, spirits and vinegar",,"Prepared Foodstuffs","Beverages, spirits and vinegar",,,
2202,"Waters, including mineral and aerated, containing added sugar or other sweetening matter or flavoured",,"Prepared Foodstuffs","Beverages, spirits and vinegar",Free,Free,
220210,"Waters, with added sugar/sweetener/flavour (aerated waters)",LTR,"Prepared Foodstuffs","Beverages, spirits and vinegar",Free,Free,
22021010,"Aerated waters / carbonated soft drink",LTR,"Prepared Foodstuffs","Beverages, spirits and vinegar",Free,Free,
39,"Plastics and articles thereof",,"Plastics and Rubber","Plastics and articles thereof",,,
3923,"Articles for the conveyance or packing of goods, of plastics; stoppers, lids, caps",,"Plastics and Rubber","Plastics and articles thereof",Free,Free,
392330,"Carboys, bottles, flasks and similar articles, of plastics",KGS,"Plastics and Rubber","Plastics and articles thereof",Free,Free,
39233090,"Plastic bottles, other",KGS,"Plastics and Rubber","Plastics and articles thereof",Free,Free,
61,"Articles of apparel and clothing accessories, knitted or crocheted",,Textiles,Knitted apparel,,,
6105,"Men's or boys' shirts, knitted or crocheted",,Textiles,Knitted apparel,Free,Free,
610510,"Men's or boys' shirts of cotton, knitted or crocheted",PCS,Textiles,Knitted apparel,Free,Free,
61051010,"Men's cotton shirts, knitted",PCS,Textiles,Knitted apparel,Free,Free,
62,"Articles of apparel and clothing accessories, not knitted or crocheted",,Textiles,Woven apparel,,,
6205,"Men's or boys' shirts (woven)",,Textiles,Woven apparel,Free,Free,
620520,"Men's or boys' shirts of cotton (woven)",PCS,Textiles,Woven apparel,Free,Free,
62052000,"Men's cotton shirts, woven",PCS,Textiles,Woven apparel,Free,Free,
76,"Aluminium and articles thereof",,Base Metals,Aluminium and articles thereof,,,
7612,"Aluminium casks, drums, cans, boxes and similar containers",,Base Metals,Aluminium and articles thereof,Free,Free,
761290,"Aluminium containers, other (incl. beverage cans)",KGS,Base Metals,Aluminium and articles thereof,Free,Free,
76129090,"Aluminium beverage can and other containers",KGS,Base Metals,Aluminium and articles thereof,Free,Free,
85,"Electrical machinery and equipment and parts thereof",,Machinery,Electrical machinery,,,
8501,"Electric motors and generators (excluding generating sets)",,Machinery,Electrical machinery,Free,Free,
850110,"Electric motors of an output not exceeding 37.5 W",NOS,Machinery,Electrical machinery,Free,Free,
85011000,"Electric motor, output not exceeding 37.5 W",NOS,Machinery,Electrical machinery,Free,Free,
8503,"Parts suitable for use solely or principally with the machines of heading 8501 or 8502",,Machinery,Electrical machinery,Free,Free,
850300,"Parts of electric motors and generators",KGS,Machinery,Electrical machinery,Free,Free,
85030090,"Electric motor part, other",KGS,Machinery,Electrical machinery,Free,Free,
